Invoice #,Qty,Item,Description,Warr,Net,Ext Price,Shop Supplies
IN001835,1,559-117,"WHEEL LUG NUT",,3.67,3.67,N
IN001835,1,S358,"OIL PRESS SENSOR",,6.48,6.48,N
IN001835,1,109776,"MOTUL 8100 5W40",,60.61,60.61,N
IN001835,1,F,"FREIGHT",,N/C,N/C,N
IN001835,1,SS,"SHOP SUPPLIES",,N/C,N/C,Y
IN000204,1,TMBA,"OEM TIRE MOUNT & BALANCE",,80.00,80.00,N
IN000204,1,SS,"SHOP SUPPLIES",,N/C,N/C,Y
IN000207,4,S2001335,"SAILUN ICE BLAZER WST1 100T",,155.87,623.48,N
IN000207,1,TMBA,"OEM TIRE MOUNT & BALANCE",,N/C,N/C,N
IN000207,4,REC,"RECYCLING CHARGE",,5.00,20.00,N
IN000207,1,SS,"SHOP SUPPLIES",,N/C,N/C,Y
IN001792,,ENSE,"ENGINE SERVICE",,1197.00,1197.00,N
IN001792,1,11427542267,"OIL COOLER THERMOSTAT",,289.50,289.50,N
IN001792,1,16-314GOEME,"OEM CONC COOLANT EURO 1L",,10.07,10.07,N
IN001792,0.5,OWVE,"WASH VEHICLE - WASH ENGINE BAY AND UNDERTRAY FOR OIL",,63.00,63.00,N
IN001792,,VSSE,"VISION & SAFETY SERVICE - REPLACE LEFT LOWER BRAKE LIGHT BULB",,12.60,12.60,N
IN001792,1,7506.TP,"LAMP",,1.31,1.31,N
IN001792,1,F,"FREIGHT",,10.00,10.00,N
IN001792,1,SS,"SHOP SUPPLIES (INCLUDE 3 LITER OF ENGINE OIL)",,50.00,50.00,Y
